,LITHO,DESCRIPTION
0,*,Unknown
1,UNDF,Undifferentiated
2,,
3,VALH,Valhall
4,UHSM,Upper Hot Shale Member
5,SLTM,Siltstone Member
6,RZDM,Ryazanian Sand Member
7,LHSM,Lower Hot Shale Member
8,OXSH,Oxfordian Shale
9,OSPS,Oxfordian Spiculite Sandstone
10,BEAA,A Sand
11,MISH,Mid Shale
12,BEAB,B Sand
13,BCOL,Brora Coal
14,BCOH,H H Sand
15,BCOI,I I Sand
16,LCSD,Lower Cretaceous Sands
17,RYSD,Ryazenian Sand
18,VOSD,Volgian Sand
19,BLAS,Black Shales
20,ABSD,ABSD A and B Sands
21,HISD,HISD H and I Sands
22,JSAN,JSAN J Sand
23,TRBS,Triassic Red Beds
24,LI,Lias
25,TRIG,Triassic
26,ZECH,Zechstein
27,ROTL,Rotliegendes
28,CHER,Cherty Rock
29,ROTC,Rot Clay Member
30,LCSG,Lower Cretaceous Sand Group
31,KLSG,Lower Cretaceous Shale Group
32,VKSG,Volkim Shale Group
33,BLSG,Black Shale Group
34,OXSG,Oxfordian Shale Group
35,INTB,Brora Coal Interbedded Unit
36,LAWS,Ladys Walk Shale
37,DUNJ,J J Sand
38,DURB,Red beds
39,TRCH,Triassic Chert
40,DEVG,Devonian Group
41,DCON,Devonian Conglomerate Formation
42,BSMT,Basement
43,BOCL,Boulder Clay
44,KIMM,Kimmeridge Clay
45,BLSD,Jurassic Lower Sand Unit
46,VKSD,Volgian/Kimmeridgian Sand
47,SLSH,Slow Shale
48,TTSA,Top Sand
49,TUPS,Upper Sand
50,TFOS,Forty Foot Sand
51,TMIS,Middle Sand
52,TLTS,Lower Thin Sand
53,TLOS,Lower Sand
54,STCR,Stotfield Cherty Rock
55,OXSS,Oxfordian Slow Shale
56,INOX,Intra Oxfordian Event
57,HORD,Hordaland
58,BALD,Balder
59,MORY,Moray
60,MAUR,Maureen
61,EKOF,Ekofisk
62,TORF,Tor
63,FLND,Flounder
64,HERR,Herring
65,PLNM,Plenus Marl
66,HIDR,Hidra
67,RODB,Rodby
68,SOLA,Sola Formation
69,ASGA,Asgard Member
70,DEVH,Devil's Hole
71,HEAT,Heather
72,PIPE,Piper
73,SELE,Sele
74,DORN,Dornoch
75,LIST,Lista
76,MACK,Mackerel Formation
77,VHCK,Carrack Formation
78,CAPS,Captain Sandstone Member
